N,T,Y_C2H4
24457,300.00092,7.226691e-07
24458,300.0007,5.1300094e-07
24459,300.00052,3.610906e-07
24460,300.00037,2.519605e-07
24461,300.00027,1.7424622e-07
24462,300.0002,1.1939949e-07
24463,300.00015,8.104751e-08
24464,300.0001,5.4482804e-08
24465,300.00006,3.6260708e-08
24466,300.00006,2.3884938e-08
24467,300.00003,1.5564382e-08
24468,300.00003,1.0026857e-08
24469,300.00003,6.37798e-09
24470,300.00003,4.0029664e-09
24471,300.0,2.534492e-09
24472,300.0,1.6252483e-09
24473,300.0,9.902892e-10
24474,300.00003,5.966084e-10
24475,300.00003,3.553855e-10
24476,300.00003,2.0931543e-10
24477,300.00003,1.2189469e-10
24478,300.00003,7.016979e-11
24479,300.00006,3.989678e-11
24480,300.00006,2.2484861e-11
24481,300.0001,1.2638221e-11
24482,300.0001,7.1839193e-12
24483,300.00012,3.9870668e-12
24484,300.00015,2.2066244e-12
24485,300.0002,1.2073092e-12
24486,300.00024,6.758042e-13
24487,300.0003,3.8753026e-13
24488,300.00034,2.1547968e-13
24489,300.00043,1.2100597e-13
24490,300.0005,7.0747146e-14
24491,300.00055,4.6225376e-14
24492,300.00064,3.6708304e-14
24493,300.0007,3.805162e-14
24494,300.0008,4.796856e-14
24495,300.00085,6.817534e-14
24496,300.00092,1.035192e-13
24497,300.00098,1.4922783e-13
24498,300.00104,2.185844e-13
24499,300.00107,3.1012711e-13
24500,308.926,0.035623312
24501,308.24203,0.032428727
24502,307.59064,0.029437173
24503,306.97278,0.026646921
24504,306.38898,0.024054475
24505,305.83936,0.021654826
24506,305.32382,0.019441683
24507,304.84192,0.017407728
24508,304.39297,0.015544841
24509,303.9761,0.013844301
24510,303.59024,0.012296989
24511,303.23416,0.010893552
24512,302.90652,0.009624558
24513,302.60596,0.008480619
24514,302.33102,0.007452504
24515,302.08017,0.006531223
24516,301.85196,0.0057081007
24517,301.64487,0.0049748276
24518,301.45746,0.0043235025
24519,301.28827,0.0037466574
24520,301.13596,0.0032372759
24521,300.99915,0.0027887998
24522,300.87662,0.0023951288
24523,300.76712,0.0020506147
24524,300.6696,0.0017500495
24525,300.58286,0.0014886514
24526,300.50598,0.0012620462
24527,300.43802,0.0010662479
24528,300.3781,0.0008976377
24529,300.3254,0.0007529413
24530,300.27924,0.0006292073
24531,300.23886,0.0005237845
24532,300.20364,0.0004342998
24533,300.17307,0.00035863684
24534,300.14658,0.00029491505
24535,300.12372,0.00024146968
24536,300.10403,0.00019683264
24537,300.08716,0.00015971441
24538,300.07275,0.0001289869
24539,300.0605,0.00010366735
24540,300.05008,8.290336e-05
24541,300.0413,6.595888e-05
24542,300.03387,5.220125e-05
24543,300.02768,4.1089326e-05
24544,300.02252,3.2162505e-05
24545,300.01822,2.503076e-05
24546,300.01468,1.936557e-05
24547,300.01178,1.4891747e-05
24548,300.00937,1.1380078e-05
24549,300.00745,8.640768e-06
24550,300.00586,6.5176087e-06
24551,300.0046,4.882838e-06
24552,300.00357,3.6326342e-06
24553,300.00278,2.6831897e-06
24554,300.00214,1.967317e-06
24555,300.00162,1.4315324e-06
24556,300.00125,1.0335706e-06
24557,300.00095,7.40282e-07
24558,300.0007,5.25867e-07
24559,300.00052,3.7040553e-07
24560,300.0004,2.586429e-07
24561,300.00027,1.7899521e-07
24562,300.0002,1.2274201e-07
24563,300.00015,8.33769e-08
24564,300.0001,5.6089668e-08
24565,300.00006,3.735754e-08
24566,300.00006,2.4625447e-08
24567,300.00003,1.6058497e-08
24568,300.00003,1.0352272e-08
24569,300.00003,6.5889023e-09
24570,300.00003,4.139363e-09
24571,300.0,2.625692e-09
24572,300.0,1.684697e-09
24573,300.0,1.0272367e-09
24574,300.00003,6.1930844e-10
24575,300.00003,3.6917142e-10
24576,300.00003,2.1759163e-10
24577,300.00003,1.2680684e-10
24578,300.00003,7.3053556e-11
24579,300.00006,4.1576926e-11
24580,300.00006,2.3449727e-11
24581,300.0001,1.3201154e-11
24582,300.00012,7.495966e-12
24583,300.00012,4.166606e-12
24584,300.00018,2.2891088e-12
24585,300.0002,1.2831713e-12
24586,300.00024,7.13076e-13
24587,300.0003,4.063732e-13
